
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
  577   0% S     1      0K      0K  fg root     usb detect wq
  589   0% S     1      0K      0K  fg root     file-storage
  651   0% S     1      0K      0K  fg root     kstriped
    1   0% S     1    404K    260K  fg root     /init
  699   0% S     1      0K      0K  fg root     l2cap
  700   0% S     1      0K      0K  fg root     krfcommd
 1010   0% S     1      0K      0K  fg root     yaffs-bg-1
 1012   0% S     1      0K      0K  fg root     yaffs-bg-1
 1013   0% S     1      0K      0K  fg root     yaffs-bg-1
 1014   0% S     1      0K      0K  fg root     yaffs-bg-1
 1024   0% S     1      0K      0K  fg root     irq/39-0-000c
 1033   0% S     1      0K      0K  fg root     al3006_pls
 1038   0% S     1      0K      0K  fg root     lis3dh_acc_wq1
 1039   0% S     1      0K      0K  fg root     lis3dh_acc_wq2
 1060   0% S     1      0K      0K  fg root     irq/54-headset
 1061   0% S     1      0K      0K  fg root     irq/53-headset
 1080   0% S     1      0K      0K  fg root     mali-pmm-wq
 1085   0% S     4   3440K    192K  fg root     /sbin/adbd
 1101   0% S     1    764K    296K  fg root     /system/bin/sh
 1102   0% S     1   1552K    588K  fg root     /system/bin/nvitemd
 1107   0% S     1    816K    288K  fg root     /system/bin/vcharged
 1111   0% S     2   1864K    276K  fg root     /system/bin/engservice
 1114   0% S     2   1888K    340K  fg root     /system/bin/engmodemclient
 1127   0% S     2   2072K    432K  fg root     modemd
 1128   0% S     5  12792K   1452K  fg root     engpcclient
 1129   0% S     1    692K    284K  fg root     ./sprd_monitor
 1131   0% S     1    676K    240K  fg root     open_ttyNK
 1145   0% S     1    832K    284K  fg system   /system/bin/servicemanager
 1146   0% S     3   3768K    556K  fg root     /system/bin/vold
 1147   0% S     3   3756K    552K  fg root     /system/bin/netd
 1148   0% S     1    692K    252K  fg root     /system/bin/debuggerd
 1149   0% S     8   9576K    784K  fg radio    /system/bin/rild_sp
 1150   0% S     1 108928K  27544K  fg root     zygote
 1151   0% S     9  34656K   5212K  fg media    /system/bin/mediaserver
